1	48000000	52000000	1
2	86000000	100500000	2
2	134500000	138000000	3
2	183000000	190000000	4
3	47500000	50000000	5
3	83500000	87000000	6
3	89000000	97500000	7
5	44000000	51500000	8
5	98000000	100500000	9
5	129000000	132000000	10
5	135500000	138500000	11
6	25000000	33500000	12
6	57000000	64000000	13
6	140000000	142500000	14
7	55000000	66000000	15
8	8000000	12000000	16
8	43000000	50000000	17
10	37000000	43000000	18
11	45000000	57000000	19
11	87500000	90500000	20
12	33000000	40000000	21
12	109500000	112000000	22
20	32000000	34500000	23
